gesture_dir,label,num_frames,height,width
146270,13,37,100,176
134531,13,37,100,176
20651,14,38,100,176
4245,11,37,100,176
14242,13,39,100,176
99467,14,37,100,176
32033,3,37,100,176
31583,11,34,100,132
93296,24,37,100,176
28465,14,37,100,176
130809,13,37,100,176
60389,14,36,100,132
16513,3,38,100,176
2947,12,37,100,176
130892,1,34,100,132
134447,12,35,100,176
21942,12,37,100,176
34942,12,38,100,176
40100,15,34,100,176
51345,1,37,100,176
147262,11,36,100,176
19816,27,32,100,132
23121,15,37,100,132
134105,3,36,100,132
82479,13,36,100,176
104523,13,36,100,176
92480,27,37,100,176
125396,27,36,100,132
96742,27,38,100,176
68554,14,33,100,176
66527,3,37,100,176
92855,13,36,100,176
89666,11,37,100,176
75996,14,36,100,176
116428,24,37,100,176
122310,27,36,100,132
89894,1,37,100,176
14071,27,37,100,176
13903,27,37,100,176
68519,3,36,100,176
111418,15,32,100,176
2922,11,35,100,176
85620,13,33,100,176
40990,14,37,100,176
22183,14,36,100,176
141612,14,37,100,176
8964,13,34,100,132
117879,24,34,100,176
24176,3,36,100,132
105307,1,37,100,176
134235,11,36,100,132
125409,24,37,100,176
69101,11,36,100,132
116289,24,37,100,176
28745,15,37,100,176
109453,13,35,100,176
134682,24,37,100,176
10531,12,37,100,176
110499,11,37,100,176
79927,12,35,100,176
77202,24,32,100,176
77585,11,37,100,176
83502,3,36,100,176
65698,1,36,100,176
81671,15,36,100,132
57712,14,37,100,176
72601,1,33,100,132
136387,14,36,100,176
38559,3,36,100,132
120075,12,37,100,176
64867,12,37,100,176
61001,3,37,100,176
140742,13,37,100,176
91732,3,34,100,176
41651,14,33,100,132
58983,15,37,100,132
61017,3,37,100,176
40393,1,33,100,176
54424,24,36,100,176
11063,13,39,100,176
77037,1,37,100,176
137155,27,36,100,176
124664,1,33,100,132
145421,14,39,100,176
67045,11,35,100,132
9647,24,36,100,176
91198,14,37,100,176
89622,27,37,100,176
16329,24,37,100,176
30157,13,37,100,176
1792,11,33,100,176
28706,24,32,100,176
65589,3,32,100,176
138503,15,37,100,132
136050,24,37,100,132
111036,12,37,100,132
110615,1,39,100,132
56610,14,36,100,176
13794,14,37,100,176
144332,12,36,100,132
67480,13,36,100,176
33847,14,37,100,176
120354,27,32,100,176
88505,27,35,100,132
141586,13,37,100,176
55238,27,36,100,132
88456,14,36,100,176
132843,12,37,100,176
78947,14,35,100,132
111723,27,36,100,176
114335,27,37,100,176
75679,14,37,100,176
74692,14,36,100,176
105450,27,36,100,176
60462,15,37,100,132
19609,13,32,100,176
34755,24,34,100,132
10742,15,37,100,176
143738,11,34,100,132
76486,14,36,100,176
63480,27,37,100,176
50154,1,37,100,176
77493,12,37,100,176
88671,12,36,100,132
120426,15,37,100,176
75728,14,37,100,176
137207,15,36,100,132
114759,14,37,100,176
9684,15,34,100,176
93785,14,34,100,132
82926,27,37,100,176
34855,24,37,100,132
58422,13,34,100,132
18754,13,33,100,176
36611,12,38,100,176
57352,11,37,100,176
64404,3,36,100,176
129988,24,37,100,176
77691,14,37,100,176
21673,1,35,100,176
116408,13,38,100,176
28087,1,37,100,132
17218,13,37,100,176
57012,24,37,100,176
126552,24,34,100,176
50259,14,38,100,176
76233,12,37,100,176
83471,24,36,100,176
69004,1,38,100,176
100221,15,37,100,176
57019,24,36,100,176
63830,14,37,100,176
7730,14,37,100,176
20707,1,34,100,132
28657,13,37,100,176
22837,3,37,100,132
118439,3,37,100,176
44685,14,36,100,176
56608,24,35,100,176
67375,27,36,100,176
138167,3,37,100,176
13067,11,35,100,132
100039,13,37,100,176
109065,15,35,100,176
90653,27,38,100,132
67969,1,37,100,176
30912,12,37,100,176
66005,1,36,100,176
140331,14,37,100,176
103396,15,37,100,176
83637,15,37,100,176
59343,12,37,100,176
117986,15,36,100,176
128522,15,37,100,132
89755,12,38,100,176
84436,3,33,100,176
32796,3,37,100,176
106162,27,33,100,176
145397,3,38,100,176
94282,13,37,100,176
42755,27,36,100,132
96828,11,32,100,132
18202,27,37,100,176
81369,12,36,100,176
26950,1,37,100,176
38839,13,38,100,176
135620,13,37,100,176
86977,12,35,100,176
115129,27,37,100,176
10780,3,37,100,176
6854,12,36,100,176
40652,24,34,100,176
98871,3,37,100,176
70705,27,37,100,176
35180,14,37,100,176
69134,3,37,100,176
131560,12,34,100,132
128382,15,37,100,176
80994,13,37,100,176
142636,27,36,100,132
78599,13,38,100,132
50944,3,37,100,132
140148,11,37,100,176
80967,12,37,100,176
104566,11,34,100,132
9012,1,37,100,176
132206,3,33,100,176
136940,24,34,100,132
54306,13,35,100,176
45095,14,33,100,132
13196,3,36,100,176
40506,14,36,100,176
525,13,36,100,176
66797,11,38,100,176
138803,27,37,100,176
129778,12,36,100,176
87452,1,33,100,132
10121,12,35,100,176
63438,3,35,100,176
113720,13,38,100,176
19336,27,34,100,132
53977,11,37,100,176
39511,3,37,100,132
29754,12,37,100,176
6993,15,35,100,176
122750,12,36,100,176
140081,12,34,100,176
93708,15,36,100,176
9346,24,37,100,176
34247,11,32,100,100
120510,27,33,100,132
112027,27,34,100,176
122876,27,33,100,132
119917,12,32,100,176
44170,12,32,100,132
53265,24,34,100,132
56536,1,36,100,176
61321,11,37,100,176
132054,12,38,100,132
120100,3,37,100,132
1826,14,36,100,176
3664,13,34,100,132
43298,15,35,100,132
32486,3,37,100,176
43340,11,32,100,176
22077,3,36,100,176
97890,11,37,100,176
66981,12,38,100,176
34863,14,36,100,176
53177,1,33,100,176
91165,13,36,100,132
50233,13,37,100,176
76,1,37,100,176
98033,14,37,100,176
67393,24,36,100,176
104153,11,37,100,176
71533,1,35,100,132
130085,3,38,100,176
53465,24,37,100,176
111756,12,33,100,176
96955,14,37,100,132
17074,27,37,100,132
1765,3,37,100,176
144464,12,36,100,100
98540,24,33,100,176
124864,12,36,100,132
22262,14,36,100,176
52205,1,37,100,176
61472,13,37,100,176
131052,15,33,100,132
38988,3,37,100,176
56067,27,37,100,132
81534,14,39,100,176
132005,12,36,100,176
39275,14,37,100,176
16138,24,36,100,176
32998,1,35,100,176
36551,27,37,100,176
40582,13,36,100,132
123988,1,32,100,132
57153,15,37,100,176
95871,15,39,100,132
99240,15,34,100,132
13611,13,37,100,176
2468,1,35,100,176
35712,1,37,100,176
78452,1,37,100,176
142116,13,32,100,132
95550,14,37,100,132
104901,14,35,100,132
86459,3,37,100,176
125983,1,36,100,176
118627,24,33,100,176
70370,14,37,100,176
34225,13,37,100,176
26628,1,36,100,176
46480,15,36,100,176
117589,24,35,100,176
25138,1,37,100,176
39035,14,37,100,176
100289,27,37,100,176
72700,24,37,100,132
67262,11,37,100,176
133955,27,33,100,132
78794,14,36,100,176
35843,3,37,100,132
70755,1,37,100,176
40165,27,36,100,176
112352,12,34,100,176
18010,3,36,100,176
16647,27,35,100,176
70062,13,38,100,176
110640,11,37,100,176
39248,13,37,100,176
113414,13,32,100,176
130871,3,34,100,176
34450,14,37,100,176
126268,24,37,100,176
81748,11,37,100,176
91870,1,35,100,176
129714,3,37,100,176
15603,27,33,100,132
3607,27,35,100,176
52201,27,33,100,132
36968,12,38,100,176
56975,24,33,100,100
121910,13,36,100,176
36528,12,37,100,176
95985,1,37,100,176
70213,15,33,100,142
109452,11,38,100,176
61005,24,37,100,176
2102,14,37,100,176
6983,1,36,100,176
105911,13,37,100,176
42828,12,32,100,176
24926,13,33,100,176
119620,1,37,100,176
79210,27,36,100,176
30562,1,34,100,132
127631,3,36,100,176
97576,24,38,100,176
130660,12,38,100,176
141198,15,34,100,176
69211,13,33,100,176
84377,24,38,100,176
119298,27,37,100,176
77371,27,38,100,176
123944,15,37,100,176
93798,27,33,100,132
114586,3,36,100,176
30330,24,36,100,176
2515,1,33,100,176
28698,15,37,100,176
96402,12,38,100,176
74646,14,37,100,176
14811,3,35,100,176
88537,15,36,100,176
128108,15,35,100,132
97588,3,36,100,176
112230,11,37,100,176
90443,27,37,100,176
118422,14,34,100,176
101618,24,37,100,132
86281,3,36,100,132
816,12,33,100,132
146328,11,38,100,176
135495,15,32,100,132
9419,24,36,100,176
34288,15,32,100,132
60033,12,35,100,176
106118,1,38,100,176
4261,1,35,100,132
35142,13,37,100,132
32582,11,37,100,132
463,14,35,100,176
129796,3,36,100,176
320,14,32,100,132
19770,11,37,100,176
6957,27,37,100,176
112341,12,37,100,176
18177,3,36,100,176
93224,15,37,100,176
54414,24,37,100,176
246,27,37,100,176
35217,12,35,100,176
141982,11,36,100,176
61878,14,35,100,176
116424,24,37,100,176
42759,11,37,100,176
101265,1,37,100,176
74759,24,37,100,132
115967,27,34,100,132
64289,3,37,100,176
124000,1,37,100,176
119429,15,33,100,176
120244,11,36,100,176
59923,13,35,100,132
82234,3,37,100,132
103646,24,37,100,176
61045,24,36,100,100
99173,3,34,100,132
36532,14,33,100,176
126648,12,37,100,176
12894,15,32,100,132
53542,24,37,100,176
29085,15,38,100,176
135786,1,34,100,132
58512,1,37,100,176
5969,12,37,100,176
142502,27,37,100,176
132928,14,36,100,132
146409,13,35,100,132
146149,15,37,100,176
129817,11,35,100,176
21770,14,37,100,176
115742,15,40,100,132
10231,11,32,100,176
23873,14,37,100,176
59520,14,36,100,176
1002,27,37,100,132
22794,27,37,100,176
10234,24,34,100,176
129701,14,36,100,176
112030,14,37,100,132
95452,13,37,100,176
140948,13,37,100,176
49790,11,36,100,132
16888,1,37,100,176
144653,3,37,100,176
110078,24,33,100,132
86262,12,38,100,176
43713,14,37,100,132
74407,15,37,100,176
85726,12,32,100,132
136188,15,37,100,176
72678,13,36,100,176
139826,1,37,100,132
84939,3,35,100,132
112841,13,33,100,176
93778,3,32,100,132
53068,24,33,100,176
42181,27,38,100,132
70592,11,37,100,176
2167,24,36,100,176
13111,12,37,100,176
76881,12,36,100,132
116627,13,37,100,132
55894,1,37,100,176
48824,15,36,100,176
10156,24,33,100,176
62259,11,35,100,176
122540,15,37,100,176
72029,1,37,100,176
101844,1,36,100,176
112558,13,36,100,132
77570,24,37,100,132
135915,27,40,100,176
113651,13,37,100,132
148057,14,34,100,176
95348,12,36,100,176
20484,3,32,100,132
65758,3,36,100,176
92253,3,37,100,176
56474,14,37,100,176
104303,24,37,100,176
111895,15,36,100,176
129478,13,36,100,176
102389,14,37,100,176
120605,3,34,100,132
144000,1,37,100,176
143477,1,37,100,132
69804,12,37,100,176
127553,1,33,100,132
23075,12,37,100,176
37535,13,36,100,132
114198,11,36,100,176
92068,13,37,100,176
62414,14,36,100,176
70032,12,37,100,132
77110,15,37,100,176
87480,11,35,100,176
88821,12,35,100,132
74833,27,34,100,176
28865,15,33,100,132
120894,11,39,100,176
63393,11,33,100,132
19153,24,36,100,132
92028,14,34,100,176
107932,14,36,100,176
126216,12,36,100,132
100637,3,37,100,176
28599,15,37,100,176
44611,3,37,100,176
118208,24,37,100,176
128923,11,37,100,176
58755,27,37,100,176
66837,12,33,100,132
45316,15,37,100,176
76327,27,37,100,176
84056,27,37,100,132
33874,3,36,100,176
112313,3,37,100,176
118592,15,37,100,176
16903,15,37,100,176
61411,3,38,100,176
37841,14,37,100,176
84407,15,39,100,176
74880,12,37,100,132
135222,15,37,100,176
86508,27,36,100,176
13726,27,36,100,176
131573,11,37,100,176
123732,11,37,100,176
117586,3,37,100,176
65126,24,36,100,176
104194,11,33,100,176
31562,27,37,100,176
145196,15,33,100,132
27121,15,37,100,132
38448,27,37,100,176
54836,14,37,100,176
124436,24,37,100,176
146466,14,37,100,132
46778,27,37,100,132
111122,15,36,100,176
119638,3,33,100,132
26261,13,36,100,132
81643,14,34,100,132
104585,15,37,100,176
69292,15,38,100,176
111829,12,38,100,132
36695,3,36,100,132
66222,12,36,100,176
145796,27,37,100,132
73144,11,37,100,176
122802,24,33,100,176
93744,13,37,100,176
42869,14,37,100,176
147699,1,37,100,176
112829,15,36,100,132
64946,11,37,100,100
125231,12,37,100,176
57399,1,37,100,176
113209,15,35,100,132
85061,24,37,100,176
115878,11,35,100,132
73563,14,35,100,132
108547,11,32,100,176
9819,15,38,100,132
11326,13,33,100,132
35753,12,36,100,176
47568,11,37,100,176
8335,15,38,100,176
95314,27,36,100,176
38796,14,37,100,176
10194,27,37,100,176
91917,3,33,100,176
55549,13,37,100,176
99094,24,33,100,176
144488,11,37,100,176
86238,11,34,100,176
5567,27,37,100,176
115615,27,37,100,176
62903,11,37,100,176
100277,1,37,100,176
89889,12,36,100,132
82747,15,37,100,176
40020,3,33,100,132
114062,27,38,100,132
117084,14,37,100,176
12497,1,37,100,176
57149,11,37,100,176
49806,27,37,100,176
133157,1,37,100,132
88004,3,35,100,132
66388,3,36,100,176
53543,1,37,100,176
48281,24,36,100,176
135267,12,38,100,176
117210,13,37,100,176
60688,24,36,100,176
10259,24,36,100,176
56494,13,37,100,176
62006,3,37,100,176
70306,15,32,100,132
102394,15,37,100,176
33924,15,36,100,176
58994,11,34,100,132
135584,11,35,100,176
34144,15,33,100,132
13574,15,34,100,132
31399,27,37,100,176
53758,14,36,100,176
55786,15,37,100,176
120934,12,37,100,176
105220,1,35,100,132
11911,24,37,100,176
74847,15,33,100,132
121881,1,37,100,176
59586,1,34,100,176
103181,11,36,100,176
6541,15,32,100,132
140366,27,37,100,176
105819,12,33,100,132
110886,12,35,100,132
55629,27,35,100,132
11189,3,35,100,132
124289,24,37,100,176
124568,11,37,100,176
46331,3,32,100,176
20085,13,36,100,132
108208,15,36,100,132
1671,1,37,100,176
67349,13,37,100,176
56910,13,32,100,132
27545,13,37,100,176
130281,13,38,100,132
17307,11,36,100,132
129948,24,35,100,176
127126,3,36,100,176
5610,14,33,100,176
96572,3,37,100,176
96145,1,35,100,132
146308,27,33,100,132
77667,14,33,100,176
7831,13,36,100,176
68274,13,33,100,132
4150,13,36,100,176
13843,13,37,100,132
93399,1,34,100,132
75250,12,33,100,176
24564,14,37,100,176
67471,15,38,100,176
21737,14,37,100,176
135781,11,35,100,176
37155,27,32,100,176
24379,24,35,100,132
8058,1,35,100,132
27249,11,36,100,176
85824,15,33,100,176
3374,13,33,100,132
45595,11,35,100,132
84321,14,33,100,176
142077,1,37,100,176
43247,27,37,100,176
60072,15,38,100,132
3710,24,37,100,176
45024,13,37,100,176
54958,13,37,100,176
88588,3,37,100,176
128042,1,36,100,176
78623,11,37,100,176
108885,14,37,100,176
143491,12,37,100,176
98924,15,37,100,176
112332,24,37,100,176
45144,1,37,100,132
17723,15,37,100,132
93357,12,37,100,176
12989,15,36,100,176
121004,13,37,100,176
35106,13,33,100,176
2148,12,34,100,176
71162,3,38,100,176
48208,12,37,100,176
18604,15,37,100,176
112887,15,36,100,176
32531,27,37,100,176
113489,12,34,100,132
58631,27,34,100,176
90865,13,36,100,176
68344,11,36,100,132
81805,15,36,100,176
30587,14,36,100,176
85084,15,36,100,176
9244,12,33,100,132
36358,3,37,100,176
28122,3,36,100,132
96182,1,35,100,176
91405,1,34,100,176
24415,14,38,100,176
48312,14,33,100,176
138864,15,34,100,132
12487,14,35,100,176
124695,1,37,100,176
21071,24,37,100,176
85963,12,34,100,132
80380,3,36,100,176
39235,1,35,100,132
54850,27,36,100,176
84796,13,37,100,132
97800,24,32,100,176
124922,27,36,100,176
5042,15,36,100,132
42325,12,33,100,142
112165,15,38,100,176
79635,14,35,100,132
97828,1,38,100,132
80915,11,36,100,100
67334,24,37,100,176
121141,24,37,100,176
14010,24,36,100,176
78352,1,36,100,132
142737,27,37,100,132
144106,27,37,100,176
47496,3,34,100,132
2339,14,33,100,132
26971,15,37,100,176
98458,14,35,100,132
59846,14,38,100,176
50121,15,35,100,132
3866,12,37,100,176
117869,11,37,100,176
112252,27,37,100,176
88754,3,37,100,176
125306,14,37,100,132
124850,27,37,100,176
98151,24,35,100,176
67631,27,37,100,176
111476,24,32,100,176
92426,3,33,100,132
23869,12,36,100,176
120106,27,34,100,132
21547,12,37,100,176
142657,24,36,100,132
100646,11,37,100,132
25731,12,33,100,132
109729,12,38,100,176
36439,3,36,100,176
40797,1,37,100,176
115852,27,34,100,132
49075,24,32,100,176
53945,12,36,100,176
103871,27,38,100,176
42817,1,36,100,176
137177,12,36,100,132
12129,13,36,100,176
67052,11,36,100,132
110149,27,33,100,132
120197,13,37,100,176
38489,12,35,100,176
105987,13,37,100,132
3829,3,33,100,176
6740,15,37,100,176
127087,14,37,100,176
11107,14,34,100,132
17115,15,37,100,176
83077,12,34,100,132
123667,12,36,100,176
115794,27,36,100,176
18791,13,34,100,176
70554,11,37,100,132
100986,1,37,100,176
2311,3,33,100,132
123011,27,37,100,176
41315,13,37,100,132
134659,27,37,100,176
39630,1,35,100,132
135391,13,37,100,176
16588,14,37,100,176
38652,11,37,100,176
23151,24,37,100,132
1793,12,36,100,176
41138,12,37,100,132
79358,15,35,100,176
30629,15,36,100,176
100992,27,36,100,176
69461,13,37,100,176
32938,12,37,100,176
105466,1,32,100,176
23153,14,33,100,176
80847,11,32,100,176
14423,12,32,100,176
90582,13,37,100,132
69933,1,37,100,176
1693,1,37,100,176
50873,15,35,100,132
49979,24,37,100,176
29835,13,37,100,176
38892,13,35,100,176
67965,3,35,100,176
119524,27,37,100,176
23575,12,38,100,176
70546,13,38,100,176
14159,13,36,100,176
110183,3,36,100,176
3185,11,38,100,176
9115,12,37,100,176
123960,11,36,100,176
13426,13,37,100,176
99688,27,34,100,132
15297,12,36,100,176
121999,12,37,100,176
25491,3,37,100,176
16575,11,37,100,176
42185,14,36,100,176
78762,24,37,100,176
44900,24,38,100,176
116935,27,32,100,176
118516,24,35,100,132
16143,24,38,100,176
11275,1,32,100,132
47658,15,34,100,132
88753,13,37,100,176
103334,15,34,100,132
79390,15,37,100,176
18081,3,34,100,176
90302,1,34,100,176
66181,14,35,100,176
115893,1,37,100,176
133073,27,37,100,132
94831,12,37,100,176
83152,1,35,100,176
108485,27,37,100,176
48570,1,33,100,132
83734,14,37,100,176
47647,1,36,100,132
77490,1,36,100,176
85083,12,37,100,132
137064,1,36,100,176
51069,27,37,100,176
115948,27,37,100,176
93059,14,32,100,176
106443,3,33,100,132
51388,12,36,100,176
93515,14,32,100,176
8656,3,36,100,176
9315,11,37,100,176
97823,13,37,100,176
142677,1,35,100,176
27494,1,37,100,176
22080,15,37,100,176
113337,1,36,100,176
20976,27,37,100,176
106805,13,36,100,176
20138,11,37,100,176
76897,14,32,100,176
11875,27,32,100,132
76197,13,37,100,176
10010,1,35,100,176
122966,24,34,100,132
11847,13,33,100,176
124411,15,34,100,176
8574,1,32,100,176
85301,14,38,100,176
52877,1,37,100,176
80964,11,37,100,176
21936,15,37,100,176
123108,24,37,100,176
74972,24,37,100,176
72510,15,33,100,132
142189,13,37,100,176
64413,24,37,100,176
54367,15,38,100,176
114132,12,33,100,176
26720,24,37,100,176
137562,14,36,100,176
68219,15,32,100,176
74368,12,37,100,176
42769,12,37,100,176
30685,14,36,100,176
46927,13,34,100,132
23623,13,36,100,176
598,13,38,100,176
8848,27,35,100,176
54640,12,33,100,176
135534,11,36,100,176
148076,15,36,100,176
68296,27,34,100,132
20240,12,36,100,132
3752,14,37,100,176
37905,13,36,100,176
72294,13,37,100,176
20980,27,36,100,176
81351,12,37,100,132
25808,3,37,100,176
130359,11,33,100,132
14791,12,36,100,176
47934,15,37,100,176
67931,24,37,100,132
138477,1,36,100,132
93996,27,37,100,176
29981,1,35,100,132
26904,12,37,100,176
20461,11,36,100,176
18444,15,33,100,176
8732,11,34,100,132
103498,27,33,100,176
111907,14,37,100,176
19502,15,37,100,176
13485,3,37,100,176
47142,27,36,100,176
91954,14,37,100,176
2918,1,34,100,132
36509,27,35,100,176
138430,14,37,100,176
99600,1,37,100,176
131300,24,36,100,132
115152,1,37,100,176
78833,11,37,100,176
11457,13,37,100,176
64129,15,38,100,176
20233,1,35,100,132
66665,15,37,100,176
34017,15,37,100,176
67561,12,36,100,176
103560,13,36,100,176
110592,3,36,100,132
134345,1,35,100,132
17830,3,33,100,132
41246,15,37,100,132
25853,13,35,100,176
113792,15,37,100,176
41994,27,37,100,132
129465,11,37,100,176
87570,14,37,100,176
61124,12,37,100,176
21366,13,33,100,132
109439,24,38,100,176
109872,24,37,100,132
67608,1,37,100,176
104706,12,37,100,176
79597,12,33,100,132
140818,12,37,100,176
129608,12,37,100,176
45130,13,37,100,176
5271,27,37,100,132
60651,13,36,100,176
29897,24,36,100,176
118857,11,38,100,176
94642,15,37,100,176
6950,1,36,100,176
138117,24,38,100,176
122525,13,36,100,176
120018,1,37,100,176
96078,14,38,100,176
53272,27,38,100,132
91117,24,37,100,176
140914,13,33,100,176
72244,27,35,100,176
74330,11,37,100,176
67390,14,35,100,132
52856,1,37,100,176
66174,3,34,100,176
140409,27,33,100,176
5094,12,37,100,176
65509,14,36,100,176
123558,1,34,100,132
123673,11,36,100,132
32082,15,37,100,132
42974,24,36,100,176
16599,3,33,100,132
114065,27,37,100,176
70510,12,34,100,132
107883,24,33,100,132
75759,15,33,100,132
109417,24,33,100,132
12816,11,36,100,176
128362,24,33,100,132
98705,13,37,100,132
124692,1,36,100,176
139362,24,33,100,132
66047,12,37,100,176
39623,12,37,100,176
144481,11,39,100,176
103085,1,36,100,176
11358,1,32,100,176
3527,14,38,100,176
4927,1,34,100,176
100060,24,33,100,176
545,1,37,100,176
75625,13,36,100,176
124463,15,33,100,132
97498,14,37,100,176
25361,11,37,100,176
129308,24,36,100,176
8779,1,35,100,176
92343,24,37,100,176
114265,1,36,100,176
19907,27,36,100,176
16795,14,34,100,176
43756,11,36,100,132
43422,11,36,100,176
100367,13,36,100,176
37671,27,37,100,176
5184,11,34,100,176
86517,13,37,100,176
39800,14,33,100,132
81706,1,37,100,176
141954,27,34,100,132
132893,14,35,100,176
70903,13,37,100,176
147928,15,35,100,100
56468,11,35,100,176
25187,24,34,100,132
72155,27,36,100,176
108157,12,36,100,132
146727,14,37,100,176
33616,3,37,100,176
131693,1,37,100,176
134112,27,37,100,176
62668,13,32,100,132
55598,15,35,100,176
27640,14,37,100,176
10343,1,34,100,132
106858,14,37,100,176
89428,14,39,100,176
144132,27,32,100,176
126306,12,37,100,176
66200,1,37,100,176
141526,14,37,100,176
23887,15,36,100,176
101260,1,37,100,176
70497,13,37,100,176
115210,27,37,100,176
114473,11,34,100,132
91682,14,36,100,176
84233,15,33,100,132
139417,15,37,100,176
80372,3,37,100,132
3354,11,36,100,176
17492,24,33,100,132
109851,12,33,100,132
28445,27,37,100,176
9195,12,36,100,176
103461,11,33,100,176
115986,12,37,100,176
138530,27,35,100,132
122578,11,34,100,176
85628,27,37,100,176
110733,12,33,100,176
52958,1,37,100,176
55624,1,37,100,176
138661,15,37,100,176
135047,11,37,100,176
89845,13,35,100,132
108249,14,34,100,176
125789,27,34,100,132
11843,15,33,100,132
136590,27,36,100,176
125947,1,34,100,132
131074,12,35,100,132
144846,11,34,100,132
117804,12,36,100,132
31108,27,36,100,176
136970,15,35,100,132
135987,11,33,100,132
62830,13,34,100,132
70454,24,37,100,176
117950,3,36,100,176
128010,3,37,100,132
71022,1,37,100,132
139949,12,35,100,132
121301,27,34,100,132
94725,3,37,100,176
70815,3,34,100,132
141977,13,37,100,132
30152,13,34,100,132
98221,14,37,100,176
47224,14,37,100,176
49957,12,37,100,176
107434,15,37,100,176
93371,1,36,100,176
92123,12,37,100,176
5015,11,36,100,176
52974,11,37,100,132
127563,1,37,100,176
17646,12,36,100,176
101960,15,37,100,176
90586,24,36,100,176
122561,1,37,100,176
81431,12,37,100,176
83562,27,35,100,132
129912,12,32,100,176
73616,24,36,100,132
4361,1,32,100,132
45108,11,37,100,176
41802,13,33,100,176
85568,11,33,100,132
58446,24,33,100,176
112770,27,33,100,132
103416,11,38,100,132
128334,3,37,100,176
137995,13,37,100,176
71940,3,37,100,176
28109,12,37,100,176
29442,27,36,100,176
89750,3,37,100,132
116349,11,32,100,100
120560,27,37,100,176
129092,11,32,100,176
17056,27,33,100,132
83649,12,32,100,176
139182,13,37,100,176
119533,13,33,100,176
68001,3,36,100,176
1501,3,37,100,176
83995,3,36,100,176
21926,24,37,100,176
141006,13,35,100,176
52381,13,37,100,176
118798,27,37,100,176
146976,3,37,100,176
74969,13,37,100,176
130398,3,32,100,132
55837,24,37,100,132
101754,27,37,100,176
18893,13,37,100,176
58161,24,37,100,176
20701,13,37,100,176
126977,15,35,100,132
146877,3,37,100,176
28914,13,34,100,176
41165,14,37,100,176
120790,3,37,100,176
131957,24,35,100,132
10891,24,33,100,132
67717,24,36,100,132
81279,3,37,100,176
